continent,country,state,city,postal_code,latitude,longitude,timezone,address,region
Africa,French Southern Territories,Oregon,East Michaelberg,57735,32.040303,-17.266558,Europe/San_Marino,"45057 Simpson Via, Port Colleen, OH 81944",VI
,Western Sahara,,Lake Michelleborough,68848,,-138.294345,,"9017 Mary Plain Suite 864, South Catherineside, TN 23095",DC
,Portugal,Louisiana,Sandovalburgh,97006,-82.098996,-37.895887,Europe/Sofia,,IN
Antarctica,Georgia,Maine,Ericaburgh,99520,-30.404149,129.843628,Africa/Khartoum,"710 Walker Turnpike Suite 550, Lake Christopher, MS 23827",WA
Antarctica,Reunion,Delaware,Johnsonfurt,84364,66.317591,136.712316,Australia/Brisbane,"8182 Cody Dale, South Rachelstad, VA 07593",FL
Australia,Iceland,Missouri,North Betty,48380,72.166104,-10.668103,Asia/Krasnoyarsk,,SD
Europe,Kiribati,Nevada,Port Nathanville,,-1.997588,-167.212494,Europe/Berlin,"055 Dunn Fords, Michaelstad, LA 57406",MA
South America,Namibia,Alaska,New Faith,46301,78.932395,-105.673155,Africa/Brazzaville,"7981 Leon Bridge Suite 708, Schwartztown, ME 40210",DC
Australia,Heard Island and McDonald Islands,Georgia,North Richard,26835,-56.582019,32.526615,Africa/Nairobi,"0967 Watson Freeway, Angelaburgh, GU 78311",IL
Antarctica,Egypt,New Mexico,Stephaniemouth,46546,-83.054673,-9.244597,Asia/Dhaka,,MT
,Sri Lanka,Montana,South Elizabeth,61558,87.698619,51.041170,Europe/Prague,"2718 Chase Spur Apt. 545, Smithburgh, MT 93578",NV
Antarctica,,Indiana,Jessicahaven,32333,78.741212,20.597173,Asia/Qatar,"0931 Courtney Ways, Avilamouth, UT 98276",
Africa,Papua New Guinea,Wisconsin,East Blakehaven,40430,,101.728797,America/Guatemala,"7284 Jenkins Ports, Williamsport, PW 37528",IA
Europe,Comoros,Pennsylvania,,95363,20.3243755,179.502655,Asia/Karachi,"559 Howard Expressway, Valerieland, HI 14656",DE
Asia,Israel,Iowa,Penafort,79496,-75.5383225,135.395179,America/Santo_Domingo,"986 Brittany Run Suite 008, Henryfurt, WY 23810",VT
Africa,Western Sahara,Alaska,,34374,-24.4906585,-109.533894,Europe/Vienna,"784 Yates Junction Apt. 056, Stanleyland, MO 64587",MH
Europe,Nepal,Tennessee,East Christinestad,43791,30.215694,177.181320,Europe/Podgorica,"Unit 9027 Box 6960, DPO AE 03972",MN
Australia,Austria,Florida,Port Samanthaburgh,09597,69.694842,82.851668,America/Antigua,"142 Soto Camp Apt. 698, Joseshire, ME 86739",ID
North America,Mali,,Richardstad,23248,18.7056275,1.001657,Africa/Lubumbashi,"3863 Myers Branch, New Lori, UT 75120",VI
Asia,,Michigan,Antoniomouth,08284,-9.273674,-61.787329,Asia/Kabul,"97806 Larry Valleys, Dunnside, NY 04543",WI
North America,Afghanistan,Maine,Debbiehaven,42427,83.6402865,169.337087,Europe/Monaco,"63890 Saunders Trace, Lake Kristin, MH 90608",DC
Europe,Libyan Arab Jamahiriya,North Carolina,East Stephaniemouth,64657,78.785372,119.099704,America/Jamaica,"753 Weaver Gateway, Halemouth, AR 46444",TX
Antarctica,Mauritania,Wyoming,Port Deborah,55738,-11.352039,-74.922747,Pacific/Guadalcanal,"08468 Karen Path Suite 815, Mcdanielchester, VI 43477",DE
Africa,Georgia,Wisconsin,Ellistown,31151,-50.7808065,110.478637,Africa/Lusaka,,GA
South America,Saudi Arabia,Montana,Anthonyton,61254,-4.8272685,-65.986503,America/Antigua,"360 Barnes Union Suite 535, Monteschester, KY 83445",FM
,French Guiana,Idaho,,57643,-50.2608365,-44.471882,Africa/Luanda,"80974 Wiley Bridge Suite 688, Lake Veronicaside, TN 66311",NY
Australia,Western Sahara,Idaho,Dixonstad,29885,-48.266214,109.942707,Africa/Conakry,"6267 Marvin Alley Suite 993, Michaelview, DC 98505",SD
Europe,Barbados,Mississippi,East Amberville,26824,19.701918,99.636128,,"6401 James Pine, Katherinetown, MT 71612",VT
South America,Mauritius,,Hunterville,66431,1.1040065,-47.638272,Europe/Oslo,"28271 Hebert Estates, South Tiffany, HI 40722",
Africa,Bolivia,Massachusetts,Barbaraland,86551,-77.759605,119.761948,,"060 Ann Common Apt. 251, New Amyfurt, AZ 26163",UT
Asia,Heard Island and McDonald Islands,Tennessee,Leeport,19909,2.1036865,-87.885353,Africa/Douala,"345 Thomas Shoals, Nicholaschester, OR 96758",MD
,Luxembourg,Kentucky,Sandraborough,54397,80.237926,-31.609728,America/Guyana,"96652 Davis Plaza Suite 576, Lopezton, DC 73924",SD
North America,Portugal,Iowa,,19231,-29.2726165,,Asia/Damascus,"949 Meredith Falls, Rachelton, AS 23121",FL
Africa,Poland,Michigan,,47610,7.0288525,-86.940842,Europe/Athens,"87021 Burke River, South Samanthaview, LA 69023",SD
Asia,Holy See (Vatican City State),Montana,East Craigville,08245,-27.2181675,-81.143649,Africa/Sao_Tome,,
Africa,Pakistan,Mississippi,,67046,-86.3699465,-45.599823,,"3280 Roberts Lane, Sandersmouth, WV 10925",MN
,Cocos (Keeling) Islands,Wyoming,Lake Andrew,35478,-71.4181715,124.379604,Europe/Amsterdam,"74825 Parsons Isle, Martinezland, NV 84459",MO
Europe,Ireland,Florida,Port Emilyburgh,,49.9700415,146.522275,Asia/Muscat,"91633 Gomez Squares Apt. 216, Chanside, DC 90338",KY
South America,Fiji,Alabama,Scottside,94761,-7.3477245,-94.256260,Asia/Yerevan,"103 Regina Drives, Brandonmouth, NE 80179",OH
Europe,Sweden,Hawaii,Glenberg,,-12.8054395,-122.757414,Asia/Kuwait,"68737 Harris Mountains Apt. 878, Matthewston, ND 67449",WY
North America,Morocco,Maryland,Wiseview,32617,32.522764,-50.659150,Asia/Jerusalem,"23836 Thompson Corner Apt. 089, South Timothyton, VT 15780",UT
Europe,Hong Kong,South Carolina,Brandyborough,05285,78.048435,147.377541,Asia/Baghdad,"1879 Sandy Motorway, Lake Traceymouth, VA 39288",KY
Australia,Togo,Massachusetts,South John,65983,26.6322805,176.744781,Asia/Yerevan,"73880 Blanchard Falls, Johnnyside, PA 94674",WV
Antarctica,Peru,Nebraska,New Allisonchester,14950,58.127737,-142.308334,Asia/Pontianak,"87335 Chen Way, West Justin, IN 45352",AS
Antarctica,Saint Barthelemy,West Virginia,,27653,74.724136,2.159009,Pacific/Palau,"0484 Tucker Haven Suite 408, West Vincent, TN 71754",KS
Europe,Madagascar,,West Heather,07633,,-62.810160,Europe/Amsterdam,"258 Samantha Club, West Joshuaburgh, AL 28920",PA
,Papua New Guinea,Arkansas,Smithtown,76863,-42.639853,-8.160907,America/Guatemala,"14325 Sara Valleys, Philipmouth, CA 66657",UT
,Falkland Islands (Malvinas),Nevada,North Devin,27171,-60.8595285,-12.374429,,"41623 Grimes Crossing Suite 251, West Lisatown, RI 43451",WA
Antarctica,,Florida,Timothyside,35844,71.310576,-59.964758,Asia/Seoul,"6974 Sandra Radial, Port Zachary, AR 26987",PW
North America,Bouvet Island (Bouvetoya),Delaware,West Jacobmouth,30384,-86.5532635,141.730628,,"026 Desiree Mews, Christianmouth, MT 65581",
,Nicaragua,New Jersey,Terryberg,12611,,93.004427,Africa/Brazzaville,"770 Scott Landing Suite 532, Fergusonfort, MP 02467",MD
Europe,Saint Pierre and Miquelon,Iowa,West Rebecca,54150,-24.0189645,,Pacific/Galapagos,"345 James Dam, West Elizabeth, MA 21413",AZ
South America,Madagascar,Connecticut,Emmaberg,,59.6333985,169.721327,Pacific/Nauru,"50443 Darren Drive, Smithville, MT 49237",MA
Australia,,Washington,Lawrenceberg,60973,81.629198,-113.077478,Asia/Vientiane,"4834 Kelly Square, Andrewtown, VA 19968",CT
North America,Argentina,,West Darren,60438,,-169.939444,Europe/Vatican,"889 Susan Cape Apt. 759, New William, CT 12801",KY
,Namibia,Texas,West Rodney,79894,59.5949465,-121.961725,Africa/Nouakchott,"028 Dean Plains, West Andrewport, MD 87542",NM
South America,,New Jersey,Nicholasborough,81404,-13.5499205,15.398865,Atlantic/Reykjavik,,IN
Africa,,,Dustinhaven,,20.710614,-28.639443,,"075 May Lock Apt. 205, Lisashire, HI 13372",RI
Asia,Cameroon,Maine,Lake Andreabury,81639,26.9181225,-27.584164,Asia/Tehran,"193 Berger Run Apt. 101, New Zachary, NM 94275",MP
Australia,Greenland,New Hampshire,,60490,32.7067195,-178.932755,Africa/Windhoek,,OH
North America,Heard Island and McDonald Islands,Florida,Mooremouth,76299,82.002854,-136.666420,Asia/Thimphu,"4563 Miller Street Suite 644, New Andrew, IA 67688",VA
Europe,Malawi,Illinois,West James,69492,-87.7207415,-10.255056,Africa/Mbabane,"02152 Blake Ridges, Longview, GA 50967",MO
Antarctica,Korea,Alaska,Flynnport,88017,28.1957295,115.498081,Africa/Abidjan,"1454 Daniel Lights, Kennethside, FM 74352",ME
Europe,,,Port Alvinmouth,,0.931169,-14.100110,Asia/Katmandu,,PR
Asia,United Arab Emirates,Ohio,Port Drewfurt,80256,-5.733374,-6.510834,Africa/Bujumbura,"43607 Salas Bypass, East Amandafurt, KY 67029",HI
Africa,Denmark,Idaho,Port Gloria,53506,27.153756,-83.424656,Europe/Tirane,"176 Sarah Mountains Apt. 517, West Michellemouth, PA 57117",AS
Asia,Netherlands,Massachusetts,Gomezmouth,21260,62.497836,-77.976979,America/Guyana,"37413 Mills Loop Apt. 459, West Sarah, VA 83895",NM
Asia,South Africa,Rhode Island,South James,06363,-19.9210315,-143.736371,,,MI
South America,Netherlands,New York,West Justinchester,16579,-49.6040095,-107.986966,Africa/Ouagadougou,"690 Michael Plains, East Kayla, NM 97231",RI
Australia,Venezuela,Missouri,East Brendafort,61131,8.085816,,Europe/Zurich,"6451 Amy Isle Suite 445, Grantmouth, HI 19843",TN
Africa,Malaysia,North Dakota,Gardnertown,26931,6.3763865,165.957038,Africa/Bissau,"7652 Ferguson Green, West Davidberg, AL 52773",
Europe,Andorra,Michigan,West Marcus,75817,77.8147925,-137.741569,Africa/Libreville,"1017 Young Lights, Port Danaberg, OR 71436",NY
Asia,Cayman Islands,Wyoming,East Caitlyn,98962,-14.097749,-132.683564,Asia/Manila,"USS Lee, FPO AE 76766",MP
Asia,Slovakia (Slovak Republic),Arkansas,Frankshire,96270,-44.970963,176.402646,Europe/Paris,"18018 Miller Ranch Suite 832, Lisaport, FL 99713",OR
North America,Slovenia,Illinois,Elizabethhaven,28366,,156.527100,Pacific/Kwajalein,"17098 Shelton Village, East Leahburgh, PA 78321",MA
Australia,Thailand,Arkansas,Campbelltown,09092,,,Europe/San_Marino,"60876 Nichole Gardens, Lake Patrickside, MO 85407",LA
Africa,Palestinian Territory,Georgia,Kimberlyton,08582,-11.600072,-29.617705,,"3913 Moore Crest Apt. 157, Lake James, AK 50382",MA
North America,Seychelles,Kentucky,Ashleyfurt,43747,25.522545,-127.097994,Asia/Tokyo,,AR
,Argentina,Kansas,Port Williefurt,12455,,42.858454,Europe/Oslo,"7446 Andrea Hills, Port Shellyberg, OR 68106",MN
South America,Grenada,Alabama,Brianport,50532,-30.213922,104.794310,Africa/Abidjan,"5675 David Ford, Sullivanborough, FM 11773",AL
Australia,Austria,Kansas,,77997,36.418317,-117.007161,Europe/San_Marino,"388 Nelson Parkways, West Benjamin, OK 09420",SC
North America,,New York,Masontown,11436,4.551062,-81.178462,Africa/Blantyre,"8818 Cody Squares, East Josephshire, DE 22695",AZ
North America,,Georgia,Churchhaven,84059,-70.3765005,-29.287142,Europe/Belgrade,"17070 Massey Drive Apt. 751, New Gregberg, AR 37281",
Antarctica,Saint Vincent and the Grenadines,Nebraska,Friedmanhaven,88713,-64.7590425,71.675613,Europe/Andorra,"918 Melissa Parkways, Andersonborough, WY 27475",
Asia,Canada,Michigan,Timtown,39256,54.8013765,85.955036,Asia/Bishkek,,IA
North America,Israel,Rhode Island,Washingtonshire,69285,-68.533698,-1.656150,Africa/Harare,"7869 Lopez Ports Apt. 092, Jeremytown, IA 68618",CT
South America,,Oklahoma,North Michaelfort,73819,-85.6219595,,Asia/Rangoon,"4776 Travis Mill Suite 937, Josephmouth, MT 95891",MA
Africa,Northern Mariana Islands,Oregon,,76987,-46.2326695,-87.293311,Asia/Bangkok,"89724 Bryan Street Apt. 805, Brandonchester, IL 94043",ND
North America,Azerbaijan,Texas,Michaelstad,12097,-25.0776355,165.428824,Africa/Blantyre,"1367 Bass Circle Apt. 963, Lake Randy, AK 42085",OK
,Kenya,Nebraska,Lake Jasminefurt,16454,-76.6871095,75.967720,Africa/Casablanca,"43641 Larry Courts, East Kelseyland, AZ 48750",MN
Australia,Guinea,South Carolina,Vegamouth,68397,-6.1020405,-84.172004,Asia/Tehran,"01924 Brown Estates, North Jordanstad, MH 57685",MO
Australia,Tajikistan,Washington,New Joel,,33.060446,149.846535,,"99438 Henry Path, North Katherineberg, AL 07428",NH
South America,,Iowa,,81017,86.495664,-14.289373,Europe/Bucharest,"122 Edward Union Suite 920, West Frederick, AR 38094",NC
Europe,Palau,Louisiana,,79547,62.9725085,-65.706906,Asia/Thimphu,"4351 Pugh Fall, Rushfurt, IL 97908",CA
Australia,Mali,Vermont,West Juanhaven,65577,-6.2575485,165.529750,Europe/Sofia,"57559 Ann Haven Apt. 582, East William, OH 54654",FL
Asia,Cocos (Keeling) Islands,Connecticut,South Emilymouth,56061,,-108.812926,Pacific/Fiji,"87021 Elaine Lane, South Kristenport, FM 95468",AZ
North America,Cote d'Ivoire,Wyoming,,39641,-16.311356,-168.231981,Europe/Zurich,,MT
South America,Egypt,Arizona,Alexside,,-83.7401385,-179.024005,Africa/Bangui,"08646 Ramirez Junctions, North William, WV 48903",MT
Africa,Saint Lucia,Ohio,North Scott,,21.8526895,,,"88452 Perkins Tunnel, East Rebecca, NC 20740",MS
Asia,Poland,Delaware,Grahamstad,50393,-6.0560335,,Europe/Podgorica,"060 John Extensions Apt. 485, South Rebekahmouth, IN 83244",MI
Asia,,Oklahoma,New Gabriela,88607,53.7288045,148.042027,Asia/Muscat,"130 Bruce Shore Apt. 125, Jonesberg, CA 34148",
North America,Zambia,Oregon,Fernandoberg,56982,43.0747135,-26.982334,America/El_Salvador,"1954 Merritt Fall, Lake Sherihaven, NH 86911",NV
Europe,Denmark,Colorado,New Jodi,34327,-43.5138195,153.141545,Asia/Riyadh,"776 David Pines Apt. 234, Michaelbury, FM 85706",
Europe,Bouvet Island (Bouvetoya),New Mexico,New Wanda,60070,70.4331955,115.006009,America/Havana,"833 Michael Crest, North Michaelmouth, OH 73988",NC
North America,Albania,Illinois,North Christopherstad,65851,,38.942165,Indian/Mahe,"14546 Raymond Estates Suite 976, Fernandoside, IA 24049",AR
North America,Brazil,Colorado,Fletchershire,02877,75.2371495,110.739923,Asia/Phnom_Penh,"Unit 4061 Box 2733, DPO AP 05928",PA
Africa,Netherlands Antilles,Alaska,Johnsonhaven,53355,13.937627,-132.256042,Australia/Currie,"4459 Janice Isle, North Meganmouth, NE 63505",ME
Europe,French Guiana,Wyoming,Rileyland,91990,59.506776,1.248312,Pacific/Tarawa,"487 Susan Underpass, Port Billyburgh, OH 89888",MO
Australia,Colombia,Montana,Lake Taylor,81419,,-20.377804,Europe/Sarajevo,"USNV Odonnell, FPO AP 74368",CT
North America,Mongolia,Florida,Thompsonchester,24387,0.5444205,126.665355,Africa/Bujumbura,"PSC 3006, Box 5542, APO AA 42671",IN
Africa,Guatemala,Montana,,47622,-29.789135,84.633207,Africa/Freetown,"781 Stewart Route, Hamiltonshire, AS 73098",MI
Antarctica,Jordan,North Carolina,South Courtneychester,05391,-44.796250,-25.764542,Europe/Berlin,"51748 Mayer Rapids, North Kyleton, PA 02667",MS
North America,Svalbard & Jan Mayen Islands,Maryland,West Danielstad,44283,74.5007235,-135.730895,Africa/Nouakchott,"0873 Joseph Underpass Suite 527, Jeremymouth, OH 27573",LA
Asia,British Virgin Islands,New Jersey,Sydneyfurt,29738,-63.806266,-67.459710,Africa/Nouakchott,"0881 Gonzalez Inlet, Donnahaven, PR 14617",MO
Africa,Turkmenistan,Florida,New Lauraport,55557,59.0195405,-87.783760,Europe/Brussels,"16837 Wayne Locks Suite 633, Aliciastad, FL 89420",PR
Antarctica,Liberia,Missouri,South Alexandria,11995,58.964792,171.864373,America/Caracas,"PSC 0897, Box 9928, APO AP 30492",MD
Australia,,,Darleneland,19311,-72.264474,-132.463708,Indian/Maldives,"8161 Brown Walk, South Abigail, MN 67184",MH
Asia,,,Singhberg,27783,83.2546965,75.524926,,"834 Bradley Mills Suite 185, North Holly, GA 76271",DC
North America,Japan,Alaska,Smithstad,97668,-4.342826,1.481101,Asia/Ashgabat,"19712 James Shoals, Rollinsville, TX 08149",AR
Australia,Saint Helena,Indiana,,42361,32.234532,135.200601,Asia/Ashgabat,"PSC 8458, Box 7955, APO AA 33279",DE
Europe,Antigua and Barbuda,,New Justin,,10.1754795,,Africa/Tripoli,"3955 Jennings Curve, Ryanberg, MH 99709",UT
Australia,United States of America,Virginia,Port Staceyberg,53822,-1.022136,8.854821,Asia/Dushanbe,"Unit 4883 Box 3531, DPO AE 50804",AK
,Niger,Kansas,,61181,-5.0414965,111.449213,America/Eirunepe,"PSC 7415, Box 1851, APO AP 28122",ME
Antarctica,Montenegro,North Dakota,East Sheriland,92186,,-117.318005,Europe/Rome,,WA
Asia,Montenegro,North Dakota,Christineside,61670,-86.822836,107.216260,America/Argentina/Buenos_Aires,"736 Joshua Mews Suite 661, Thompsonburgh, ID 17036",HI
Australia,Ukraine,South Dakota,West Jennifer,65874,68.303748,,Pacific/Funafuti,"5246 Tony Land, Port Courtneymouth, VT 84378",TX
Antarctica,North Macedonia,Mississippi,East Kevin,70895,89.3528075,1.776899,Europe/Tallinn,"27892 Amber Summit, Lake Scott, IN 12985",
,Grenada,Oklahoma,Lake Jimside,63359,61.705712,-30.191221,Africa/Ndjamena,"USS Willis, FPO AP 46991",
Africa,Christmas Island,Michigan,Ingramfort,21154,-63.927734,-50.927120,America/Caracas,"5783 Taylor Square Apt. 240, South Tonyahaven, WV 32938",MO
Australia,Saint Martin,New York,,17866,,-127.719268,America/St_Vincent,"71872 Stephen Square, Brooksbury, TX 62877",VA
Asia,Kenya,Virginia,Steinmouth,55874,-46.7720495,-39.940026,Africa/Ndjamena,"USNV Faulkner, FPO AE 79399",NC
Europe,,Kentucky,,74092,56.398504,170.623833,Africa/Gaborone,"USS Fletcher, FPO AA 21722",PR
Europe,Guernsey,,Wolfefort,75147,,96.221775,Indian/Comoro,"68166 Mendez Mills, West Davidberg, FM 29026",MS
Europe,Angola,Nevada,Shieldshaven,47056,20.411567,98.858337,Africa/Cairo,"771 Jay Course, Port Darrell, KS 31154",MH
,Belize,Mississippi,Randolphfurt,47319,-50.1412875,-178.972673,Europe/Paris,"30123 Robles Via Suite 770, South Christopher, RI 17490",VI
Australia,Tuvalu,North Dakota,Martinezstad,77035,74.466405,-162.869058,Europe/Sofia,"1744 Ewing Shoal, Charlesbury, NY 51789",MP
Africa,South Africa,Delaware,South Mitchell,87889,64.927044,-107.636216,America/La_Paz,"1785 Clark Spur Apt. 460, Michaelview, MT 03648",WY
Asia,Malta,,Flynnberg,51078,-85.3099035,145.075048,Asia/Karachi,"5093 Tucker Forge, Christensenchester, SD 28263",DE
South America,,,Danielburgh,98284,57.2108715,140.099936,Africa/Dakar,"42669 Kevin Expressway, Danaland, NC 27260",DC
South America,Cyprus,New Hampshire,Kimberlyborough,23795,68.1168715,-165.673435,Pacific/Ponape,"747 Harris Spurs Apt. 575, North Jennifer, ME 23213",RI
Asia,Tunisia,Iowa,East Daniel,88271,-55.6672505,-64.062374,,"41090 Kelly Canyon Suite 825, Jaredport, SD 92883",FM
Asia,Nigeria,West Virginia,Lake Rodneyport,48166,-0.551908,128.703930,Pacific/Truk,,VI
Australia,Solomon Islands,Virginia,South Eddie,15131,-41.8684455,-11.118519,Europe/Luxembourg,"221 Mitchell Cove Apt. 123, South Ruben, NM 94140",FL
Europe,Iran,Colorado,Moorefort,68495,76.7845835,147.122682,Asia/Nicosia,"7751 Dominguez Springs, Schneiderfurt, MP 48672",ID
Africa,Malaysia,Maryland,Wilsonborough,,19.005093,120.659419,Europe/Prague,"2694 Jimmy Inlet, Thomasstad, MS 04131",IA
South America,Bulgaria,,,96142,8.100304,-44.958914,,,PW
Antarctica,Tunisia,Delaware,Hendersonhaven,52686,-85.3488705,121.114214,,"2246 Stevens Loop, Lake Cherylport, WY 76407",VI
South America,Bahrain,Nebraska,West Kennethchester,25888,-68.7909625,27.388373,Africa/Casablanca,,OK
South America,,Idaho,New Mckenzieshire,29704,0.114141,116.650949,Africa/Dar_es_Salaam,"255 Mccoy Road, North Ethan, LA 45225",
South America,Germany,Colorado,Andersonmouth,13551,23.2802465,-41.039376,Asia/Katmandu,,WA
South America,Portugal,Georgia,South Johnstad,,18.879640,26.541876,Asia/Irkutsk,"25012 Ferguson Turnpike, East Tinaside, VA 44156",KS
,Armenia,,New Patricia,01133,-52.2270175,115.652829,America/Bogota,"Unit 3107 Box 1897, DPO AA 43341",OR
Australia,Cape Verde,Alabama,West David,53112,-63.3236545,154.001732,Asia/Kuching,"USNS Cooper, FPO AP 74534",NH
South America,Algeria,New Mexico,Matthewmouth,69841,,-154.350575,Africa/Conakry,"23097 Rachel Flats, Port Donaldside, CA 55109",MP
Africa,San Marino,Illinois,North Dustin,55062,-19.6136795,74.640813,America/Santo_Domingo,"40494 Kenneth Lodge, West Conniechester, SC 90652",ME
South America,,Nevada,West Samantha,46202,63.7135395,119.181922,Africa/Ceuta,"5549 Sullivan Unions, Kristiefort, PA 60212",MN
Africa,Ukraine,Louisiana,Natashafort,18809,,58.481414,Africa/Bamako,"9275 Amber View Suite 934, South Jesse, IA 67684",MH
South America,Cameroon,Iowa,Mcgeemouth,21724,-53.1951445,-94.314133,,"49833 Michelle Stream Suite 174, New Anthony, IN 25177",NV
Europe,Wallis and Futuna,South Carolina,Edwardville,59822,-44.661659,179.672979,,,NC
Australia,Botswana,,Smithbury,51346,19.626622,-86.265439,Africa/Ndjamena,"USS Perez, FPO AA 51430",CT
Antarctica,American Samoa,Hawaii,Diazburgh,06507,-27.7880095,41.334299,Africa/Mbabane,"790 Brian Run, Petersonshire, MH 58904",ID
North America,,Virginia,Josephfurt,04544,61.175713,26.632831,Europe/Ljubljana,"05184 Garcia Manors, Sparksshire, DC 37692",
South America,Mexico,Connecticut,,89978,,-114.875807,,"035 Guerrero Oval, New Jermaine, KY 10065",NY
,Reunion,,,21058,,106.498112,Asia/Qyzylorda,"726 Lloyd Overpass Apt. 250, Smithburgh, NJ 08330",
Europe,,New Hampshire,Maureenland,48806,73.1712345,22.321741,Pacific/Easter,"3243 Marshall Village Suite 830, Wilsonville, MO 51938",NE
